X,Y,Z0,Z1,Z2
17945.5,26466.75,218.69000000000003,718.69,1218.69
13792.5,19231.5,237.72000000000003,737.72,1237.72
18690.5,31617.0,246.56999999999996,746.5699999999999,1246.57
24070.25,15394.0,278.20000000000005,778.2,1278.2
20721.0,19994.0,237.75,737.75,1237.75
20089.75,31911.25,208.5999999999999,708.5999999999999,1208.6
3229.0,20721.0,441.26,941.26,1441.26
22403.5,17599.75,265.71000000000004,765.71,1265.71
9872.5,19823.25,266.55999999999995,766.56,1266.56
30829.25,10975.25,352.43000000000006,852.4300000000001,1352.43
34107.0,22301.5,240.32999999999996,740.3299999999999,1240.33
20330.0,17951.0,227.3900000000001,727.3900000000001,1227.39
25962.25,19735.0,199.51,699.51,1199.51
4759.75,9012.5,509.0,1009.0,1509.0
8432.75,16151.25,359.3599999999999,859.3599999999999,1359.36
29505.0,26428.75,248.3499999999999,748.3499999999999,1248.35
29624.0,11543.0,376.71,876.71,1376.71
17944.5,11200.0,421.8800000000001,921.8800000000001,1421.88
17537.5,9789.5,467.07,967.0699999999999,1467.07
8828.0,29687.5,262.0,762.0,1262.0
9334.75,4642.75,498.8399999999999,998.8399999999999,1498.84
27839.25,21759.5,195.1099999999999,695.1099999999999,1195.11
15704.75,12421.0,442.78,942.78,1442.78
33758.25,18457.0,301.79999999999995,801.8,1301.8
29705.25,17982.5,267.3299999999999,767.3299999999999,1267.33
28328.75,19823.25,206.48,706.48,1206.48
31522.0,15861.0,376.0,876.0,1376.0
26195.5,23280.5,249.23,749.23,1249.23
26400.5,18805.5,226.6199999999999,726.6199999999999,1226.62
26239.25,8908.25,348.69000000000005,848.69,1348.69
36356.25,9974.0,273.5999999999999,773.5999999999999,1273.6
16518.75,13635.25,274.27,774.27,1274.27
11503.75,9645.75,428.0,928.0,1428.0
25749.75,16025.25,295.56999999999994,795.5699999999999,1295.57
15519.0,22092.25,215.73,715.73,1215.73
25302.5,14027.5,292.4000000000001,792.4000000000001,1292.4
15148.75,25502.25,160.5,660.5,1160.5
33759.0,30149.0,156.82999999999993,656.8299999999999,1156.83
37247.25,27577.25,103.46000000000004,603.46,1103.46
19683.0,17304.0,251.5999999999999,751.5999999999999,1251.6
13107.25,21765.25,234.71000000000004,734.71,1234.71
9424.25,5042.5,451.43000000000006,951.4300000000001,1451.43
28249.0,8851.5,378.44000000000005,878.44,1378.44
35434.25,10516.75,276.43000000000006,776.4300000000001,1276.43
34256.25,29551.0,83.71000000000004,583.71,1083.71
32662.5,21266.5,325.8900000000001,825.8900000000001,1325.89
24836.5,29691.75,251.6099999999999,751.6099999999999,1251.61
25215.5,18409.5,213.04,713.04,1213.04
20807.0,13784.5,239.17000000000007,739.1700000000001,1239.17
